Name,Year,Sex,SPR,CPI,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Land of Dixie,2014/05/07,gelding,35,0.4,Dixie's Hope,2007,86,2.7,Cozzene,1980
Princess Leia,2014/03/15,filly,62,0.9,Twisted Sis,2004,48,0.5,A.P. Indy,1989
Red Machine,2014/03/22,gelding,24,0.2,Nacho Polo,2007,,,A.P. Indy,1989
Remove the Limit (JPN),2014/03/19,gelding,27,0.1,Position Limit,2008,99,15.7,Bellamy Road,2002
Royal Insignia,2014/03/13,colt,,,,,,,,
Samjeong Again (KOR),2014/02/26,colt,,,,,,,,
Sealadysea,2014/01/29,filly,,,,,,,,
Signature Style,2014/04/08,filly,15,0.1,Her Sweet Saint,2007,76,2.1,Sweetsouthernsaint,1995
Silver Lion (KOR),2014/04/21,filly,,,,,,,,
Tequila Charley,2014/01/14,colt,,,,,,,,
There They Go,2014/01/30,gelding,56,0.6,Starship Angel,2006,94,5.7,Running Stag,1994
Titania (KOR),2014/04/05,filly,,,,,,,,
Tiz Again,2014/02/02,filly,3,0.0,Tizmania,2009,60,0.7,Tiznow,1997
Too Awesome,2014/02/07,gelding,28,0.5,Awesome Ashley,2004,91,4.3,Unbridled's Song,1993
Trap Game,2014/04/29,colt,39,0.4,Tizamazing,2002,,,Cee's Tizzy,1987
Trek,2014/03/08,gelding,35,0.3,Starship Cruiser,2003,93,4.6,Golden Missile,1995
Try Me Again,2014/06/07,gelding,43,0.4,Goldrush Girl,2009,91,3.1,Political Force,2003
Ubetimawesome,2014/04/04,filly,,,,,,,,
Wholehearted,2014/01/15,filly,83,2.1,My Baby Baby,2005,97,6.6,Bernstein,1997
Win Money My Honey,2014/05/03,filly,7,0.1,Money My Honey,2005,86,4.4,Red Bullet,1997
Unnamed,2015/03/05,colt,,,,,,,,
Unnamed,2015/04/15,filly,,,,,,,,
Unnamed,2015/02/06,filly,,,,,,,,
Unnamed,2015/04/25,filly,,,,,,,,
Unnamed,2015/02/07,colt,,,,,,,,
American Driven,2015/05/03,gelding,42,0.4,Mercurial Menace,2009,42,0.5,Unbridled's Song,1993
Astorian Queen,2015/05/20,filly,11,0.1,Kaydara,2001,83,2.6,Kris S.,1977
Awesome Accent,2015/02/18,gelding,,,,,,,,
Awesome Blue,2015/05/05,colt,,,,,,,,
Awesome Ceebett,2015/04/12,colt,0,0.6,Ceebett's Dancer,1996,54,0.4,Moscow Ballet,1982
Awesome Class,2015/02/18,filly,43,0.5,Back to Class,2010,76,1.3,Montbrook,1990
Awesome Clue,2015/03/28,filly,37,0.4,Including,2010,64,0.9,Include,1997
Awesome Forever,2015/02/11,filly,1,0.0,Wednesday,2010,93,4.6,Medaglia d'Oro,1999
Awesome Investment,2015/04/21,filly,,,,,,,,
Awesome Jazz,2015/04/24,filly,73,1.7,Jazzy Idea,2009,95,7.1,Great Notion,2000
Awesome Mary,2015/03/09,filly,88,2.4,Truly Marie,2010,84,2.1,Hard Spun,2004
Awesome N Sweet,2015/03/23,filly,6,0.0,My Sweet Heart,2000,77,1.9,You and I,1991
Awesome Omi,2015/02/25,filly,11,0.1,Omi's Vindication,2007,66,2.5,Vindication,2000
Awesome Prayer,2015/05/03,filly,,,,,,,,
Awesome Times Two,2015/04/02,gelding,68,0.9,Majorelle,2011,,,Mizzen Mast,1998
Bazooka Girl,2015/02/07,filly,,,,,,,,
Blushing Lady,2015/01/27,filly,,,,,,,,
Bobae Dream (KOR),2015/04/03,filly,,,,,,,,
Bravazo,2015/01/29,colt,,,,,,,,
Brighten My Day,2015/04/08,colt,16,0.1,Surf N Sand,1999,94,8.1,Boston Harbor,1994
British Fields,2015/05/13,gelding,30,0.3,Allison's Hope,2001,15,0.0,Langfuhr,1992
Card Club,2015/01/25,filly,44,0.4,Domino Derval,2011,97,5.8,First Samurai,2003
Cellar Door,2015/02/11,filly,66,1.0,Rivertown Belle,2010,79,5.1,Bellamy Road,2002
Cocktails Again,2015/01/30,filly,,,,,,,,
Complicated Lady,2015/05/12,filly,29,0.3,Peggy May,2011,,,Lemon Drop Kid,1996
Consubstantial,2015/01/27,filly,34,0.4,Happy Bird,2010,90,2.5,Showing Up,2003
Count Again,2015/04/01,gelding,97,17.4,Count to Three,2002,97,7.0,Red Ransom,1987
Curly's Mark,2015/04/04,gelding,53,0.6,Princess Dashkova,2007,,,Giant's Causeway,1997
Denver,2015/03/16,filly,69,1.5,Ditch the Act,2007,67,0.9,Gulch,1984
Eagle Dance,2015/04/17,gelding,,,,,,,,
Emilyisawesome,2015/05/18,filly,46,0.5,Mony'slittlegracie,2010,68,1.0,Alphabet Soup,1991
Eyes Cheeks Smile,2015/03/24,filly,,,,,,,,
Fashionablyawesome,2015/02/03,filly,60,0.8,Fashion Insider,2007,71,1.7,Indian Charlie,1995
Gran Nighthawk,2015/03/27,filly,62,0.8,Miss Attractive,2002,93,6.5,Running Stag,1994
Harper P M,2015/04/25,gelding,63,0.8,Bressie,2006,72,1.3,Fast Play,1986
I Am a Deplorable,2015/02/25,filly,,,,,,,,
J Kitty,2015/04/18,filly,,,,,,,,
James Blonde,2015/02/16,gelding,3,0.0,Great Lookinblonde,2008,97,5.9,Albert the Great,1997
Kentucky Blueblood,2015/02/13,filly,1,0.0,All Due Respect,2007,98,7.5,Value Plus,2001
Kresses,2015/04/26,filly,49,0.6,Doitforbob,2009,22,0.2,Bertrando,1989
Lady Lyanna,2015/04/28,filly,3,0.0,Smokin' Stephanie,2005,22,0.2,Smoke Glacken,1994
Look'n Ahead,2015/02/07,colt,,,,,,,,
Magic Feet,2015/03/05,filly,40,0.4,Magic Maya,2009,63,0.9,Proud Citizen,1999
Mariarti,2015/04/27,colt,,,,,,,,
